FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-09 00:00:00.000000,0.00179325,0.01478290,0.04242251,0,3,11,0,2,6,0.00092954,0.00779266,0.02504604,0.40002382,0.54715901,0.72542510
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-10 00:00:00.000000,0.00199159,0.01673859,0.04780294,0,4,12,0,2,6,0.00094613,0.00782611,0.02570725,0.40001634,0.54715207,0.72540147
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-11 00:00:00.000000,0.00219492,0.01883411,0.05336419,0,4,13,0,2,7,0.00098912,0.00788445,0.02718359,0.39999741,0.54713955,0.72535373
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-12 00:00:00.000000,0.00240823,0.02066794,0.05925683,0,5,15,0,2,7,0.00105217,0.00845371,0.02927936,0.39994947,0.54711698,0.72525733
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-13 00:00:00.000000,0.00263523,0.02238490,0.06559873,0,5,17,0,2,8,0.00113098,0.00905960,0.03188104,0.39982817,0.54707625,0.72506277
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-14 00:00:00.000000,0.00287892,0.02415255,0.07248775,0,6,18,0,2,9,0.00122333,0.00952913,0.03492839,0.39952209,0.54700272,0.72467044
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-15 00:00:00.000000,0.00314198,0.02572572,0.08000793,0,6,20,0,2,10,0.00132802,0.01029092,0.03839593,0.39875600,0.54686993,0.72388059
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-16 00:00:00.000000,0.00706135,0.03229251,0.09095671,1,8,23,0,2,11,0.00144463,0.01132760,0.04228079,0.39687738,0.54662992,0.72229345
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-17 00:00:00.000000,0.01045490,0.03964070,0.10263903,2,10,26,0,3,12,0.00228860,0.01322090,0.04707064,0.38942373,0.53726537,0.71910443
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-18 00:00:00.000000,0.01412909,0.04595226,0.11513690,3,12,30,0,4,13,0.00305978,0.01542075,0.05265941,0.37696009,0.53007265,0.71679172
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-19 00:00:00.000000,0.01784300,0.05299691,0.12825766,4,13,33,1,4,15,0.00440173,0.01856059,0.05897661,0.35160670,0.51771454,0.70056641
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-20 00:00:00.000000,0.02163380,0.06053690,0.14148080,5,15,37,1,5,17,0.00592530,0.02224194,0.06593838,0.32110608,0.50326789,0.68085120
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-21 00:00:00.000000,0.02535277,0.07025754,0.15416384,6,18,40,2,6,19,0.00770815,0.02494515,0.07339334,0.31568823,0.48872114,0.66074158
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-22 00:00:00.000000,0.02910787,0.07836618,0.16612980,7,20,43,2,7,21,0.00969346,0.02808097,0.08111848,0.30899715,0.46937684,0.63537248
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-23 00:00:00.000000,0.03694015,0.08913661,0.18315720,9,23,47,3,8,23,0.01184509,0.03323785,0.08891814,0.30938509,0.43552492,0.60229711
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-24 00:00:00.000000,0.04281864,0.09788934,0.20066634,11,25,52,3,9,25,0.01442449,0.03682970,0.09765069,0.30959168,0.41927760,0.59325761
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-25 00:00:00.000000,0.04899635,0.10708727,0.22034985,12,28,57,4,10,28,0.01733907,0.04013866,0.10710298,0.30466438,0.41536062,0.58586920
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-26 00:00:00.000000,0.05504192,0.11529418,0.24068187,14,30,63,5,11,30,0.02052246,0.04422507,0.11717843,0.29346613,0.39275368,0.57820188
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-27 00:00:00.000000,0.05972357,0.12549386,0.26176217,15,32,68,6,12,33,0.02392249,0.04860722,0.12781710,0.27308615,0.37760992,0.56859663
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-28 00:00:00.000000,0.06457529,0.13533548,0.28358228,16,35,74,7,13,36,0.02741815,0.05325044,0.13942807,0.24552796,0.35941245,0.52279732
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-29 00:00:00.000000,0.06911962,0.14521895,0.30591605,18,38,80,7,15,39,0.02936983,0.05869372,0.15198291,0.23209238,0.34617617,0.51803166
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-30 00:00:00.000000,0.07303552,0.15509121,0.32784953,19,40,85,8,16,43,0.03113046,0.06334323,0.16430353,0.22967363,0.33304158,0.51779269
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-03-31 00:00:00.000000,0.07670007,0.16349160,0.34947444,20,42,91,8,17,46,0.03331302,0.06804075,0.17625128,0.22758403,0.32311999,0.51353234
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-01 00:00:00.000000,0.08007927,0.17427902,0.37131782,20,45,97,9,19,49,0.03662813,0.07438024,0.18778518,0.21573716,0.30236658,0.50772818
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-02 00:00:00.000000,0.08437932,0.18724466,0.39335029,22,49,103,10,20,52,0.03996312,0.07911265,0.19906128,0.20469788,0.29355454,0.49935304
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-03 00:00:00.000000,0.08878367,0.19515045,0.41522845,23,51,108,10,21,55,0.04191877,0.08375091,0.21024448,0.19233846,0.28592122,0.49261045
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-04 00:00:00.000000,0.09295225,0.20231392,0.43623965,24,53,114,11,23,58,0.04353912,0.08827852,0.22231225,0.18416378,0.27827315,0.49161913
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-05 00:00:00.000000,0.09688643,0.20767893,0.45541867,25,54,119,11,24,61,0.04501528,0.09368298,0.23440259,0.17793750,0.26719163,0.48946596
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-06 00:00:00.000000,0.11255889,0.21756615,0.46435669,29,57,121,12,25,64,0.04637670,0.09807376,0.24651663,0.17322313,0.26167497,0.44231404
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-07 00:00:00.000000,0.12815989,0.22624434,0.47024361,33,59,123,13,26,67,0.05126108,0.10228987,0.25814906,0.17023644,0.25793675,0.41818860
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-08 00:00:00.000000,0.13173240,0.23372808,0.47270237,34,61,123,15,27,70,0.05769782,0.10625093,0.26954385,0.16850150,0.25281467,0.41782462
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-09 00:00:00.000000,0.13547330,0.24056291,0.48299880,35,63,126,15,28,73,0.05931844,0.10951785,0.28075171,0.16844837,0.25127220,0.41740047
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-10 00:00:00.000000,0.13950258,0.24909371,0.49673247,36,65,130,15,29,76,0.06038426,0.11310977,0.29170790,0.16677526,0.24965267,0.40693242
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-11 00:00:00.000000,0.14389807,0.25882769,0.50853164,37,67,133,16,30,79,0.06150315,0.11721711,0.30221136,0.16657956,0.24758855,0.40329212
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-12 00:00:00.000000,0.14865627,0.26875174,0.51895244,38,70,135,16,32,81,0.06265786,0.12228072,0.31204647,0.16151008,0.24469086,0.40577285
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-13 00:00:00.000000,0.15579951,0.27855569,0.52394332,40,72,137,16,33,84,0.06383279,0.12730612,0.32115022,0.15788557,0.23506275,0.39044563
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-14 00:00:00.000000,0.16316525,0.28874771,0.52866119,42,75,138,17,34,86,0.06594244,0.13249946,0.32877808,0.15553495,0.23589882,0.38948233
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-15 00:00:00.000000,0.17482840,0.29783776,0.53320136,45,78,139,18,35,87,0.06878631,0.13652869,0.33525703,0.15263047,0.23172343,0.38891015
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-16 00:00:00.000000,0.17940870,0.30707417,0.53761798,47,80,140,18,36,89,0.07208787,0.14034596,0.34085710,0.14660686,0.23025174,0.38806886
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-17 00:00:00.000000,0.18580112,0.30938828,0.54189733,48,81,142,19,37,90,0.07568153,0.14431280,0.34578438,0.14710909,0.22622488,0.38634398
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-18 00:00:00.000000,0.19358353,0.31363881,0.54603708,50,82,143,20,38,91,0.08012864,0.14660938,0.35018556,0.14445590,0.21792505,0.37319688
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-19 00:00:00.000000,0.19918017,0.32176579,0.55008630,52,84,144,22,39,92,0.08707864,0.15094271,0.35416851,0.14327127,0.21621928,0.38172616
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-20 00:00:00.000000,0.20238741,0.33275895,0.55535822,53,87,145,23,40,93,0.09027016,0.15602300,0.35782537,0.14182505,0.21293366,0.38143369
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-21 00:00:00.000000,0.20524252,0.34130913,0.56063232,53,89,146,23,42,94,0.09136881,0.16058702,0.36231164,0.13947316,0.20981829,0.38087071
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-22 00:00:00.000000,0.20776991,0.34835234,0.57237493,54,91,149,24,43,97,0.09433860,0.16621788,0.37026228,0.13837620,0.20979131,0.37143014
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-23 00:00:00.000000,0.21002818,0.35692058,0.58522556,55,93,153,25,44,99,0.09893692,0.16999888,0.37854334,0.13948867,0.20912706,0.35496863
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-24 00:00:00.000000,0.21210694,0.36172495,0.58640666,55,94,153,27,45,100,0.10372885,0.17395548,0.38205973,0.13761994,0.20795643,0.33927258
13147,0,USGeorgiaHart,Georgia,Hart,2020-10-11 22:12:09.778966,2020-04-25 00:00:00.000000,0.21406351,0.36734764,0.58921688,56,96,154,28,46,100,0.10865176,0.17920015,0.38171226,0.13677149,0.20784498,0.32659681
