FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-09 00:00:00.000000,0.01104537,0.06980135,0.48071689,3,19,131,0,2,41,0.00000000,0.00990555,0.15138408,0.53930979,0.69592750,0.97944496
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-10 00:00:00.000000,0.01533569,0.07610834,0.48824306,4,20,133,0,3,26,0.00282685,0.01223415,0.09707567,0.53943994,0.69592689,0.97944452
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-11 00:00:00.000000,0.01203740,0.07509169,0.47250911,3,20,129,0,2,25,0.00000000,0.01073683,0.09241053,0.53968051,0.69592511,0.97944358
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-12 00:00:00.000000,0.01445589,0.08339611,0.49092553,3,22,134,0,3,25,0.00329424,0.01258830,0.09390512,0.54012429,0.69591990,0.97944160
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-13 00:00:00.000000,0.01435724,0.07996508,0.47378593,3,21,129,0,3,29,0.00042256,0.01173048,0.10923087,0.54093958,0.69590462,0.97943741
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-14 00:00:00.000000,0.01556826,0.08616636,0.49702326,4,23,135,1,3,30,0.00366815,0.01329294,0.11094344,0.54242526,0.69585985,0.97942852
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-15 00:00:00.000000,0.01553831,0.08240272,0.49621848,4,22,135,0,3,32,0.00100755,0.01292113,0.11980803,0.54509152,0.69559304,0.97940969
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-16 00:00:00.000000,0.01685824,0.09334838,0.53077613,4,25,145,1,3,32,0.00424066,0.01405096,0.11886171,0.54974427,0.69424818,0.97936983
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-17 00:00:00.000000,0.01728012,0.09037473,0.57996808,4,24,158,0,3,35,0.00119532,0.01277642,0.12863940,0.55766377,0.69427529,0.97928557
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-18 00:00:00.000000,0.01862393,0.10175034,0.57296848,5,27,156,1,4,39,0.00461916,0.01543965,0.14297572,0.55703262,0.69464396,0.97910793
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-19 00:00:00.000000,0.01888962,0.10126803,0.62739665,5,27,171,0,3,43,0.00159755,0.01446769,0.15828144,0.55284202,0.70131382,0.97873540
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-20 00:00:00.000000,0.02075081,0.11095974,0.68473631,5,30,187,1,4,47,0.00504995,0.01540322,0.17501641,0.51879752,0.69683298,0.97796235
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-21 00:00:00.000000,0.02114112,0.11487388,0.74568908,5,31,203,0,4,52,0.00240976,0.01483381,0.19313350,0.50149110,0.69907667,0.98169672
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-22 00:00:00.000000,0.02337187,0.12154930,0.81107332,6,33,221,1,4,58,0.00551321,0.01753671,0.21303490,0.49963915,0.69890343,0.99424231
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-23 00:00:00.000000,0.02383797,0.12727333,0.88171016,6,34,241,0,4,64,0.00309243,0.01601379,0.23473683,0.49815079,0.69699996,1.01985808
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-24 00:00:00.000000,0.02631781,0.14192554,0.95826925,7,38,262,1,5,70,0.00609523,0.01875576,0.25860420,0.47855736,0.69607218,1.02237219
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-25 00:00:00.000000,0.02654155,0.14587087,1.04126293,7,39,284,0,4,77,0.00359396,0.01759464,0.28342547,0.47332838,0.68830837,1.02284467
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-26 00:00:00.000000,0.02938521,0.16030776,1.13005575,8,43,309,1,5,83,0.00675066,0.01970738,0.30534399,0.46985451,0.67504232,1.02332405
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-27 00:00:00.000000,0.02930986,0.16622949,1.16744059,8,45,319,1,5,89,0.00446486,0.01944854,0.32720674,0.46773624,0.65902998,1.03903054
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-28 00:00:00.000000,0.03260023,0.17983885,1.19845860,8,49,327,2,5,95,0.00747958,0.02138097,0.35074214,0.47337137,0.65380144,1.03938394
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-29 00:00:00.000000,0.03428725,0.18824893,1.22689388,9,51,335,1,5,102,0.00471020,0.02131724,0.37490184,0.48978310,0.64766089,1.02461657
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-30 00:00:00.000000,0.03603961,0.19547963,1.25489203,9,53,343,2,6,109,0.00829209,0.02414698,0.40094973,0.45799447,0.65810501,1.05493368
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-03-31 00:00:00.000000,0.03787479,0.20069048,1.28343362,10,54,350,1,6,117,0.00499738,0.02296247,0.42807035,0.45482755,0.64138002,1.07131067
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-04-01 00:00:00.000000,0.03979967,0.20625793,1.32234593,10,56,361,2,7,125,0.00920263,0.02697705,0.45722585,0.45880319,0.62534579,1.08637934
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-04-02 00:00:00.000000,0.04182449,0.21581968,1.41927836,11,59,388,1,7,133,0.00578110,0.02576635,0.48785016,0.45340425,0.62645970,1.09768932
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-04-03 00:00:00.000000,0.04395398,0.22596074,1.52264873,12,61,416,2,8,142,0.01022275,0.03013348,0.52061024,0.44356061,0.63040703,1.10290065
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-04-04 00:00:00.000000,0.04619504,0.23538430,1.63295248,12,64,446,1,7,151,0.00669053,0.02900104,0.55486057,0.43820859,0.61517372,1.10523728
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-04-05 00:00:00.000000,0.04855545,0.24283140,1.75071568,13,66,478,3,9,161,0.01125342,0.03382750,0.59035188,0.43486830,0.60629870,1.10721055
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-04-06 00:00:00.000000,0.05104968,0.25312091,1.87653164,13,69,513,2,9,171,0.00769543,0.03298364,0.62640572,0.41753302,0.59729845,1.13873874
47185,0,USTennesseeWhite,Tennessee,White,2020-07-15 04:32:57.587172,2020-04-07 00:00:00.000000,0.05370000,0.26692281,2.01149870,14,72,550,3,10,181,0.01196026,0.03714258,0.66438738,0.39915651,0.59608270,1.18459305
