FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-09 00:00:00.000000,0.00626367,0.03741524,0.22287215,14,86,516,6,26,158,0.00291372,0.01149809,0.06852913,0.55435578,0.73021199,0.99574993
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-10 00:00:00.000000,0.01029317,0.04203924,0.68354710,23,97,1584,10,32,125,0.00465630,0.01410084,0.05410593,0.55435149,0.73021199,0.99572781
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-11 00:00:00.000000,0.00974813,0.04236995,0.20286428,22,98,470,8,38,126,0.00373008,0.01658357,0.05475013,0.55434236,0.73021199,0.99569009
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-12 00:00:00.000000,0.01440804,0.04553987,0.76925710,33,105,1783,14,41,123,0.00641669,0.01803469,0.05311417,0.55432302,0.73021199,0.99562583
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-13 00:00:00.000000,0.01271229,0.05103241,0.19965541,29,118,462,11,46,122,0.00512933,0.02003025,0.05268142,0.55428211,0.73021199,0.99551645
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-14 00:00:00.000000,0.01879627,0.05662710,0.83065854,43,131,1925,20,52,124,0.00873098,0.02244097,0.05376812,0.55419608,0.73021199,0.99533056
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-15 00:00:00.000000,0.01676389,0.06371514,0.21206712,38,147,491,16,58,130,0.00696699,0.02510994,0.05610071,0.55401759,0.73021199,0.99501551
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-16 00:00:00.000000,0.02406111,0.07062215,0.89988081,55,163,2086,26,63,138,0.01141856,0.02725367,0.05958157,0.55365894,0.73196005,0.99477975
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-17 00:00:00.000000,0.02224989,0.07861274,0.24771835,51,182,574,21,68,152,0.00921191,0.02955852,0.06591058,0.55230473,0.73148318,0.99637249
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-18 00:00:00.000000,0.02991583,0.08595277,0.97559189,69,199,2261,34,74,166,0.01499412,0.03215290,0.07163605,0.55106154,0.73459726,1.00185928
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-19 00:00:00.000000,0.02985153,0.09193626,0.28472694,69,213,660,26,85,178,0.01149545,0.03708611,0.07709338,0.54698221,0.72824114,1.01093542
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-20 00:00:00.000000,0.03790700,0.10026500,1.04519173,87,232,2423,44,93,188,0.01935266,0.04036661,0.08140275,0.53777082,0.70902157,1.01353578
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-21 00:00:00.000000,0.04108182,0.10718090,0.32700497,95,248,758,32,102,201,0.01391994,0.04408156,0.08693192,0.51185887,0.69700963,1.01096865
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-22 00:00:00.000000,0.05077859,0.11546335,1.09035520,117,267,2527,55,113,217,0.02388200,0.04876770,0.09402654,0.46601983,0.69356489,1.01735354
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-23 00:00:00.000000,0.05255017,0.12201778,0.37584552,121,282,871,38,121,241,0.01645836,0.05246067,0.10418894,0.46036524,0.69458173,1.03051662
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-24 00:00:00.000000,0.06643394,0.13504164,1.13174186,154,313,2623,65,131,271,0.02843142,0.05685155,0.11694849,0.44015776,0.67872077,1.03514275
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-25 00:00:00.000000,0.06173376,0.14160961,0.42855557,143,328,993,44,143,289,0.01909393,0.06208836,0.12489938,0.42739483,0.65993446,1.02719315
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-26 00:00:00.000000,0.07911387,0.15524869,1.18900073,183,359,2756,77,157,309,0.03348856,0.06801657,0.13331398,0.41329019,0.64269489,1.01947819
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-27 00:00:00.000000,0.07782750,0.16185566,0.48102344,180,375,1115,50,170,337,0.02177742,0.07354009,0.14560591,0.40121687,0.63291030,1.00800965
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-28 00:00:00.000000,0.09505631,0.17627584,1.27532430,220,408,2956,91,182,359,0.03964934,0.07884922,0.15524032,0.38919582,0.61618900,1.00666924
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-29 00:00:00.000000,0.09245446,0.18066101,0.53622364,214,418,1243,56,193,380,0.02439333,0.08354118,0.16427665,0.37892481,0.58213053,0.99769600
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-30 00:00:00.000000,0.11119230,0.19689898,1.36431643,257,456,3163,102,204,404,0.04433110,0.08834961,0.17434857,0.36160402,0.54941725,0.99579660
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-03-31 00:00:00.000000,0.10669839,0.20627409,0.58677167,247,478,1360,62,219,436,0.02678716,0.09462817,0.18809736,0.35441045,0.53592461,0.96410484
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-04-01 00:00:00.000000,0.12428343,0.22224182,1.41445803,288,515,3279,112,233,466,0.04856436,0.10078420,0.20100413,0.33669616,0.52283543,0.92787370
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-04-02 00:00:00.000000,0.11487683,0.22578975,0.62647947,266,523,1452,66,245,494,0.02883822,0.10592081,0.21321880,0.31959588,0.50591388,0.91356608
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-04-03 00:00:00.000000,0.13857645,0.24708951,1.44633192,321,572,3353,123,262,522,0.05317584,0.11314675,0.22542025,0.31669003,0.49143561,0.89795883
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-04-04 00:00:00.000000,0.12174049,0.24305256,0.66450523,282,563,1540,71,272,551,0.03064435,0.11745680,0.23779076,0.30794545,0.46102968,0.88483771
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-04-05 00:00:00.000000,0.15166916,0.26395978,1.44715738,351,611,3355,135,285,578,0.05839903,0.12315656,0.24937921,0.28584485,0.44839578,0.87914779
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-04-06 00:00:00.000000,0.12842310,0.25939300,0.73230594,297,601,1697,76,295,607,0.03288572,0.12766389,0.26203507,0.27226025,0.43682028,0.86745520
28049,0,USMississippiHinds,Mississippi,Hinds,2020-07-18 10:58:00.325240,2020-04-07 00:00:00.000000,0.16420158,0.28150725,1.44002050,380,652,3338,144,303,634,0.06219492,0.13107609,0.27353183,0.26046066,0.42805678,0.86809251
