FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-09 00:00:00.000000,0.00183899,0.00940128,0.02260025,5,26,63,1,9,31,0.00038627,0.00337271,0.01101315,0.51188412,0.67509525,0.97515686
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-10 00:00:00.000000,0.00239252,0.00971544,0.02464846,6,27,69,2,11,31,0.00086890,0.00405814,0.01117941,0.51188412,0.67509615,0.97511947
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-11 00:00:00.000000,0.00300602,0.01074877,0.02525113,8,30,71,3,13,34,0.00121131,0.00480013,0.01209753,0.51188412,0.67509710,0.97504136
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-12 00:00:00.000000,0.00347972,0.01197386,0.02701600,9,33,76,4,14,37,0.00154516,0.00529267,0.01335865,0.51188412,0.67509536,0.97487828
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-13 00:00:00.000000,0.00419344,0.01355582,0.02969794,11,38,84,5,16,41,0.00191640,0.00581646,0.01470561,0.51188411,0.67507830,0.97453824
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-14 00:00:00.000000,0.00493118,0.01501501,0.03292897,13,42,93,6,17,44,0.00229832,0.00635488,0.01572097,0.51188405,0.67499638,0.97383110
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-15 00:00:00.000000,0.00566896,0.01647182,0.03693722,16,46,104,7,20,48,0.00263161,0.00718318,0.01703914,0.51188341,0.67310385,0.97236869
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-16 00:00:00.000000,0.00636678,0.01712589,0.04023607,18,48,113,8,22,51,0.00298781,0.00793117,0.01806225,0.51185235,0.66811535,0.96937893
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-17 00:00:00.000000,0.00739544,0.01816666,0.04353159,20,51,123,9,24,55,0.00319217,0.00860028,0.01955787,0.51111145,0.66344163,0.96340781
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-18 00:00:00.000000,0.00789347,0.01921018,0.04678705,22,54,132,10,25,60,0.00364015,0.00900475,0.02132447,0.50807021,0.66194196,0.95700069
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-19 00:00:00.000000,0.00820972,0.02071673,0.05197144,23,58,147,12,27,65,0.00427977,0.00955281,0.02316278,0.49698168,0.64959459,0.96070390
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-20 00:00:00.000000,0.00897168,0.02262408,0.05738310,25,64,162,12,29,71,0.00456437,0.01030669,0.02541203,0.46821069,0.64421937,0.97465234
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-21 00:00:00.000000,0.00964047,0.02351197,0.06250649,27,66,176,13,31,77,0.00479021,0.01096272,0.02745831,0.43395911,0.62571998,0.98732440
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-22 00:00:00.000000,0.01001356,0.02494495,0.06713010,28,70,190,14,32,81,0.00499963,0.01138004,0.02877999,0.42484799,0.58111590,0.95534088
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-23 00:00:00.000000,0.01140918,0.02567879,0.06778582,32,72,191,14,33,84,0.00520659,0.01170555,0.02968111,0.42247982,0.56260751,0.93024055
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-24 00:00:00.000000,0.01147474,0.02618945,0.06870677,32,74,194,14,34,85,0.00520418,0.01207531,0.03037100,0.41038781,0.55448388,0.91414405
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-25 00:00:00.000000,0.01235455,0.02731439,0.07271987,34,77,205,15,36,87,0.00536451,0.01274184,0.03089851,0.40583218,0.54383179,0.90401108
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-26 00:00:00.000000,0.01212421,0.02870208,0.07643370,34,81,216,16,37,88,0.00577641,0.01311798,0.03111782,0.38649848,0.53293044,0.85849340
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-27 00:00:00.000000,0.01177797,0.02873265,0.07802917,33,81,220,16,36,87,0.00580669,0.01297531,0.03082537,0.37096723,0.51926610,0.80903949
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-28 00:00:00.000000,0.01247323,0.02890395,0.07898154,35,81,223,15,36,94,0.00562889,0.01291664,0.03347084,0.35765880,0.50727746,0.76650668
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-29 00:00:00.000000,0.01305507,0.02872471,0.07984929,36,81,226,15,36,103,0.00549336,0.01298859,0.03651611,0.35248037,0.50261552,0.73015228
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-30 00:00:00.000000,0.01274716,0.02827332,0.08283882,36,80,234,15,37,108,0.00561543,0.01317863,0.03846515,0.33854293,0.48866984,0.67867791
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-03-31 00:00:00.000000,0.01236376,0.02770842,0.08532296,35,78,241,16,36,109,0.00598229,0.01279529,0.03850673,0.33818371,0.47964410,0.65798716
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-01 00:00:00.000000,0.01190742,0.02772698,0.08710771,33,78,246,17,36,108,0.00611027,0.01272845,0.03832157,0.33841099,0.47388180,0.64386083
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-02 00:00:00.000000,0.01146214,0.02754944,0.08909350,32,77,252,16,36,107,0.00595567,0.01285755,0.03796770,0.33847662,0.46863307,0.65194935
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-03 00:00:00.000000,0.01098093,0.02674945,0.09088159,31,75,257,16,36,106,0.00573106,0.01289085,0.03749699,0.33970268,0.47037742,0.65759187
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-04 00:00:00.000000,0.01044953,0.02554507,0.09247740,29,72,261,15,35,104,0.00547860,0.01262605,0.03691536,0.32831124,0.47411877,0.62524264
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-05 00:00:00.000000,0.01002250,0.02447001,0.09391740,28,69,265,14,34,104,0.00519626,0.01235193,0.03695403,0.32940462,0.46702427,0.62315042
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-06 00:00:00.000000,0.01016546,0.02411398,0.09728755,28,68,275,13,35,100,0.00489961,0.01248817,0.03549347,0.33022534,0.45876633,0.63022066
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-07 00:00:00.000000,0.01007331,0.02445817,0.09852574,28,69,278,14,35,97,0.00496655,0.01249998,0.03450906,0.31895860,0.44669831,0.62386901
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-08 00:00:00.000000,0.01007850,0.02434793,0.09717297,28,68,275,14,35,96,0.00500984,0.01242363,0.03407566,0.31640572,0.43973772,0.62387733
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-09 00:00:00.000000,0.00964884,0.02475189,0.09590151,27,70,271,14,35,95,0.00512440,0.01245308,0.03363402,0.31090147,0.43750014,0.62384518
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-10 00:00:00.000000,0.00944222,0.02491840,0.09477005,26,70,268,14,34,93,0.00503799,0.01232421,0.03319836,0.30608597,0.43427555,0.61876993
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-11 00:00:00.000000,0.00931005,0.02479685,0.09378271,26,70,265,13,34,92,0.00478163,0.01233793,0.03278574,0.30292586,0.43819356,0.59864062
6079,0,USCaliforniaSanLuisObispo,California,San Luis Obispo,2020-09-22 17:36:09.751780,2020-04-12 00:00:00.000000,0.00917895,0.02480131,0.09294843,25,70,263,13,35,91,0.00470943,0.01243489,0.03241222,0.30692142,0.43810312,0.57742638
