FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-09 00:00:00.000000,0.00198609,0.00437067,0.00834245,15,34,66,6,17,35,0.00085200,0.00219225,0.00442852,0.57120636,0.74975915,0.95671571
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-10 00:00:00.000000,0.00251770,0.00500115,0.00975528,20,39,77,9,21,40,0.00119615,0.00270074,0.00509830,0.57120677,0.74969926,0.95670627
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-11 00:00:00.000000,0.00317945,0.00596733,0.01135859,25,47,90,12,24,52,0.00159543,0.00311918,0.00653659,0.57120786,0.74961390,0.95668689
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-12 00:00:00.000000,0.00395771,0.00715534,0.01313554,31,57,104,16,30,65,0.00203662,0.00377534,0.00815363,0.57121071,0.74949242,0.95663298
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-13 00:00:00.000000,0.00451616,0.00857042,0.01563047,36,68,124,20,36,75,0.00253284,0.00456385,0.00944112,0.57121823,0.74945509,0.95644034
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-14 00:00:00.000000,0.00509563,0.01021221,0.01922000,40,81,153,23,44,87,0.00297285,0.00560636,0.01098487,0.57123800,0.74945484,0.95550360
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-15 00:00:00.000000,0.00608215,0.01190671,0.02306817,48,94,183,27,51,103,0.00346737,0.00644130,0.01301788,0.57128997,0.74945391,0.95254037
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-16 00:00:00.000000,0.00738964,0.01414086,0.02666143,58,112,212,32,58,122,0.00411478,0.00736713,0.01534591,0.57142586,0.74745741,0.94739299
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-17 00:00:00.000000,0.00870944,0.01671634,0.03062022,69,133,244,40,68,143,0.00510669,0.00864845,0.01800836,0.57177702,0.74546240,0.92704686
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-18 00:00:00.000000,0.01053596,0.01920866,0.03499056,84,153,279,47,82,167,0.00589953,0.01029088,0.02096985,0.57265698,0.74166184,0.92558337
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-19 00:00:00.000000,0.01270645,0.02220315,0.03972902,101,177,316,54,95,196,0.00681459,0.01191904,0.02459558,0.57688903,0.74065342,0.92111677
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-20 00:00:00.000000,0.01453548,0.02517946,0.04693031,115,200,374,62,112,235,0.00786819,0.01415401,0.02953559,0.57794075,0.73003805,0.90803430
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-21 00:00:00.000000,0.01650645,0.02835517,0.05519006,131,226,440,72,128,280,0.00906646,0.01610055,0.03517579,0.54069695,0.70620918,0.90334348
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-22 00:00:00.000000,0.01857995,0.03266826,0.06369584,148,260,507,83,146,326,0.01041677,0.01843089,0.04095625,0.51911756,0.68924027,0.89364464
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-23 00:00:00.000000,0.02184990,0.03746008,0.07181446,174,298,572,94,169,370,0.01190794,0.02122137,0.04645872,0.49110298,0.65928759,0.89278199
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-24 00:00:00.000000,0.02428560,0.04252585,0.07956505,193,339,634,105,192,415,0.01320329,0.02408407,0.05211326,0.47727014,0.64896880,0.87768160
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-25 00:00:00.000000,0.02680946,0.04678788,0.09138361,213,373,728,117,218,469,0.01472540,0.02741224,0.05891060,0.46566234,0.64075374,0.86566521
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-26 00:00:00.000000,0.03002494,0.05113667,0.10523933,239,407,839,131,245,531,0.01644123,0.03082906,0.06660262,0.46054614,0.62015245,0.85519819
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-27 00:00:00.000000,0.03350625,0.05722182,0.12033039,267,456,959,150,277,602,0.01885710,0.03476612,0.07550244,0.44027776,0.60823468,0.83923970
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-28 00:00:00.000000,0.03720990,0.06394609,0.13660584,296,509,1089,171,311,675,0.02152133,0.03910481,0.08465070,0.42090741,0.60001242,0.80389115
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-29 00:00:00.000000,0.04106387,0.06972558,0.15421817,327,556,1229,187,343,741,0.02350916,0.04310557,0.09294879,0.39183419,0.58495563,0.78382258
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-30 00:00:00.000000,0.04461556,0.07652439,0.16445706,355,610,1311,200,378,821,0.02515380,0.04747551,0.10302309,0.37641606,0.55954647,0.76276290
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-03-31 00:00:00.000000,0.04838611,0.08364549,0.17490736,385,667,1394,220,413,909,0.02763689,0.05179949,0.11405433,0.35990287,0.54246861,0.72810101
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-04-01 00:00:00.000000,0.05276111,0.08928359,0.18771886,420,711,1496,236,451,992,0.02962120,0.05664846,0.12443134,0.36110206,0.53391682,0.71669655
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-04-02 00:00:00.000000,0.05790115,0.09788595,0.20685659,461,780,1649,246,492,1112,0.03091769,0.06171672,0.13953920,0.33364098,0.52780596,0.69048668
40109,0,USOklahomaOklahoma,Oklahoma,Oklahoma,2020-09-22 11:11:20.799349,2020-04-03 00:00:00.000000,0.06318057,0.10600258,0.22677242,503,845,1808,257,528,1240,0.03225189,0.06628130,0.15552938,0.31953374,0.50667687,0.68735110
