FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-09 00:00:00.000000,0.00357242,0.00805053,0.03800363,10,23,109,3,10,47,0.00110184,0.00354129,0.01657209,0.59035150,0.86632884,1.12980108
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-10 00:00:00.000000,0.00288646,0.00822433,0.03971288,8,23,114,4,11,48,0.00152199,0.00410443,0.01679225,0.59035153,0.86644026,1.12980077
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-11 00:00:00.000000,0.00338870,0.00927956,0.04151969,9,26,119,4,13,54,0.00164722,0.00482572,0.01896162,0.59035158,0.86646954,1.12980036
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-12 00:00:00.000000,0.00364309,0.01043978,0.04326647,10,30,124,6,15,56,0.00222708,0.00532976,0.01956980,0.59035169,0.86652194,1.12979977
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-13 00:00:00.000000,0.00434977,0.01204869,0.04618369,12,34,133,6,17,60,0.00231286,0.00601592,0.02097314,0.59035188,0.86662931,1.12979884
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-14 00:00:00.000000,0.00485095,0.01324244,0.04952092,13,38,142,8,19,65,0.00288944,0.00685493,0.02266799,0.59035214,0.86684872,1.12979689
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-15 00:00:00.000000,0.00564619,0.01482256,0.05326175,16,42,153,9,21,71,0.00315298,0.00762320,0.02476440,0.59035195,0.86726690,1.12979137
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-16 00:00:00.000000,0.00652198,0.01635214,0.05738158,18,47,165,10,24,77,0.00376022,0.00865269,0.02702302,0.59034678,0.86980499,1.12977184
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-17 00:00:00.000000,0.00772353,0.01855623,0.06175421,22,53,177,12,26,83,0.00422603,0.00933747,0.02888951,0.59064856,0.86192907,1.12969525
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-18 00:00:00.000000,0.00901861,0.02007701,0.06575702,25,57,189,13,29,87,0.00481418,0.01034438,0.03041985,0.59473853,0.86676662,1.15980486
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-19 00:00:00.000000,0.01047938,0.02165547,0.06820251,30,62,196,15,31,92,0.00536104,0.01091086,0.03209701,0.59978278,0.86635548,1.15876163
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-20 00:00:00.000000,0.01217652,0.02368009,0.06898426,35,68,198,17,35,97,0.00601074,0.01215954,0.03391553,0.58002987,0.86027857,1.16232111
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-21 00:00:00.000000,0.01376230,0.02668647,0.07152633,39,76,205,19,38,103,0.00673654,0.01323505,0.03592166,0.53585758,0.84648090,1.16273501
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-22 00:00:00.000000,0.01554622,0.02958954,0.07747591,44,85,223,21,41,109,0.00755681,0.01447332,0.03801818,0.52666842,0.84424986,1.15712204
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-23 00:00:00.000000,0.01772673,0.03262165,0.08504840,51,93,244,24,46,117,0.00841144,0.01599799,0.04094276,0.51594349,0.82868587,1.15609144
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-24 00:00:00.000000,0.01874932,0.03627177,0.09287599,53,104,267,27,50,126,0.00946077,0.01756357,0.04404549,0.49496046,0.82405631,1.16031925
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-25 00:00:00.000000,0.02140909,0.03988275,0.09611037,61,114,276,29,55,135,0.01037977,0.01911346,0.04704644,0.49448878,0.79343595,1.16533189
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-26 00:00:00.000000,0.02218646,0.04337829,0.09924020,63,124,285,34,61,143,0.01187080,0.02119803,0.04993134,0.49523137,0.79011953,1.16311323
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-27 00:00:00.000000,0.02528333,0.04657044,0.10242567,72,134,294,36,66,151,0.01281770,0.02292576,0.05273730,0.48249801,0.76150636,1.13737048
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-28 00:00:00.000000,0.02735728,0.04808361,0.10476533,78,138,301,41,72,159,0.01437374,0.02501276,0.05527261,0.45039153,0.71823391,1.11569758
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-29 00:00:00.000000,0.02979244,0.05064171,0.10629227,85,145,306,43,76,165,0.01503465,0.02652830,0.05744331,0.43584963,0.69108630,1.08869935
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-30 00:00:00.000000,0.03057333,0.05278257,0.10800951,88,152,311,46,81,171,0.01616289,0.02815381,0.05958793,0.42165683,0.66111937,1.05413982
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-03-31 00:00:00.000000,0.03496488,0.05421043,0.10965539,100,156,315,48,83,173,0.01695244,0.02914352,0.06035406,0.40008353,0.64385885,1.01980775
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-01 00:00:00.000000,0.03601751,0.05572722,0.11137317,103,160,320,51,86,177,0.01771554,0.03006071,0.06177581,0.38791117,0.63796701,0.99356427
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-02 00:00:00.000000,0.03742569,0.05750053,0.11413883,107,165,328,52,88,183,0.01837910,0.03065974,0.06381251,0.37753192,0.62383904,0.98985328
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-03 00:00:00.000000,0.03755007,0.05752719,0.11615397,108,165,334,54,89,184,0.01905723,0.03103815,0.06403789,0.36060146,0.58039462,0.98381307
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-04 00:00:00.000000,0.03888159,0.05824292,0.11691086,111,167,336,56,91,183,0.01971376,0.03174574,0.06371057,0.33805334,0.56280488,0.95721121
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-05 00:00:00.000000,0.03936883,0.05889341,0.11668084,113,169,336,57,91,180,0.02000077,0.03193195,0.06283025,0.30544637,0.54076958,0.92337873
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-06 00:00:00.000000,0.03830646,0.05940434,0.11585462,110,171,333,56,94,177,0.01973674,0.03265503,0.06159620,0.28986908,0.52439587,0.89480952
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-07 00:00:00.000000,0.03691348,0.05975976,0.11567570,106,172,333,56,93,176,0.01949204,0.03239859,0.06124132,0.28049090,0.50928079,0.86270081
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-08 00:00:00.000000,0.03568865,0.05974310,0.11473540,102,172,330,54,91,183,0.01888910,0.03179225,0.06374200,0.27766739,0.48419425,0.83716939
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-09 00:00:00.000000,0.03457986,0.05859700,0.11246914,99,168,323,53,90,181,0.01871823,0.03140531,0.06318077,0.27710095,0.46864780,0.81661501
2020,0,USAlaskaAnchorage,Alaska,Anchorage,2020-07-18 20:53:55.575843,2020-04-10 00:00:00.000000,0.03343737,0.05799136,0.11050214,96,167,318,52,89,180,0.01831604,0.03104197,0.06279106,0.27168711,0.45966534,0.79856928
