FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-09 00:00:00.000000,0.00886660,0.02837147,0.11091032,1,5,22,0,2,8,0.00379086,0.01060856,0.04372497,0.50632104,0.66525100,0.97349762
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-10 00:00:00.000000,0.01043226,0.02799189,0.11675588,2,5,23,0,2,9,0.00376626,0.01143996,0.04801676,0.50632097,0.66513458,0.97349762
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-11 00:00:00.000000,0.01112492,0.03115879,0.12165246,2,6,24,0,2,10,0.00361125,0.01268820,0.05157363,0.50632100,0.66491245,0.97349761
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-12 00:00:00.000000,0.01186147,0.03372489,0.12608101,2,6,25,0,2,11,0.00393610,0.01428194,0.05522053,0.50632141,0.66449024,0.97349761
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-13 00:00:00.000000,0.01263832,0.03642656,0.13537986,2,7,27,0,3,11,0.00453068,0.01570654,0.05910688,0.50632289,0.66369356,0.97349760
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-14 00:00:00.000000,0.01346010,0.03913966,0.14714220,2,7,29,0,3,12,0.00490369,0.01774060,0.06327189,0.50632723,0.66221076,0.97349759
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-15 00:00:00.000000,0.01433158,0.04372590,0.15620334,2,8,31,1,3,13,0.00521137,0.01949176,0.06773776,0.50633861,0.65555441,0.97349756
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-16 00:00:00.000000,0.02034646,0.06087367,0.18155163,4,12,36,1,4,15,0.00554169,0.02150060,0.07554242,0.50636650,0.65429392,0.97349746
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-17 00:00:00.000000,0.02394709,0.07624000,0.24258175,4,15,48,1,5,19,0.00809880,0.02660009,0.09599168,0.49669734,0.65017629,0.97349707
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-18 00:00:00.000000,0.02915498,0.09225759,0.30567719,5,18,61,1,6,22,0.00970157,0.03326209,0.11327128,0.49619857,0.64796126,0.97349504
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-19 00:00:00.000000,0.03507425,0.10945569,0.37125236,7,21,74,2,7,27,0.01151177,0.03983264,0.13917116,0.46864045,0.64414505,0.97348341
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-20 00:00:00.000000,0.04305307,0.12223617,0.40558712,8,24,81,2,9,33,0.01414543,0.04915066,0.16878121,0.44870030,0.62074386,0.97341506
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-21 00:00:00.000000,0.05214100,0.13869230,0.43985810,10,27,88,3,11,38,0.01669502,0.05968617,0.19155967,0.42523705,0.62889142,0.97300649
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-22 00:00:00.000000,0.05799181,0.16270066,0.47545742,11,32,95,3,13,42,0.01843580,0.06781701,0.21329652,0.42154745,0.63226677,0.97050683
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-23 00:00:00.000000,0.06912751,0.18998958,0.51431950,13,38,102,4,15,47,0.02049921,0.07654284,0.23647702,0.42080561,0.62328176,0.95654940
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-24 00:00:00.000000,0.07512936,0.21148604,0.55621079,15,42,111,4,17,51,0.02356253,0.08792022,0.25546378,0.41990830,0.61170356,0.92312094
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-25 00:00:00.000000,0.08329275,0.23457037,0.61775390,16,46,123,5,20,56,0.02965212,0.10184975,0.28463739,0.41911294,0.61160837,0.93373646
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-26 00:00:00.000000,0.09230121,0.25384593,0.68463919,18,50,137,7,23,63,0.03677363,0.11638553,0.31531774,0.41990607,0.61489842,0.96181530
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-27 00:00:00.000000,0.10258393,0.29238813,0.75722654,20,58,151,7,26,71,0.03944910,0.13014429,0.35542616,0.42137995,0.60498290,1.00915244
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-28 00:00:00.000000,0.11269050,0.32573791,0.83585788,22,65,167,8,29,83,0.04210339,0.14623338,0.41675486,0.41195337,0.58832013,0.96100736
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-29 00:00:00.000000,0.12308347,0.36164783,0.92103914,24,72,184,8,32,97,0.04491558,0.16189078,0.48552959,0.40079085,0.59469030,0.99168702
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-30 00:00:00.000000,0.14412034,0.39154387,1.01835740,28,78,203,9,35,112,0.04800153,0.17841015,0.55979097,0.36583067,0.58866527,0.90314379
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-03-31 00:00:00.000000,0.16553657,0.43256077,1.12277935,33,86,224,11,40,126,0.05586598,0.20066692,0.63198221,0.36233901,0.57509853,0.91472402
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-01 00:00:00.000000,0.16962389,0.47723243,1.23155045,33,95,246,12,45,140,0.06456781,0.22596530,0.70360260,0.36277122,0.57083063,0.91593581
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-02 00:00:00.000000,0.18388120,0.53193665,1.33287076,36,106,266,14,49,153,0.07391384,0.24553235,0.76670738,0.36523604,0.57797132,0.91494571
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-03 00:00:00.000000,0.20516202,0.59335482,1.42638582,41,118,285,16,53,161,0.08032008,0.26816254,0.80865813,0.36829798,0.55736362,0.91801370
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-04 00:00:00.000000,0.22663196,0.62097181,1.52033912,45,124,304,16,58,170,0.08270795,0.29299685,0.85245780,0.36767586,0.56868826,0.91764744
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-05 00:00:00.000000,0.24827824,0.66717328,1.61754342,49,133,323,18,62,179,0.09438768,0.31051574,0.89821794,0.34815963,0.57281717,0.91030565
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-06 00:00:00.000000,0.25820653,0.71664380,1.71703454,51,143,343,21,65,189,0.10719162,0.32931218,0.94573002,0.34328827,0.57443506,0.89945103
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-07 00:00:00.000000,0.26830346,0.77055269,1.82177888,53,154,364,22,70,205,0.11370871,0.35126591,1.02844252,0.34247892,0.57053100,0.89296598
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-08 00:00:00.000000,0.27712736,0.84076090,1.93126145,55,168,386,23,77,222,0.11925494,0.38539520,1.11084450,0.34216470,0.56672471,0.89950659
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-09 00:00:00.000000,0.28642023,0.88959880,2.04417143,57,178,409,24,80,238,0.12480535,0.40097348,1.19126001,0.33703863,0.58023189,0.88875192
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-10 00:00:00.000000,0.29843520,0.94588150,2.15709816,59,189,431,27,83,254,0.13537360,0.41471019,1.27187129,0.34240130,0.57262835,0.88590776
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-11 00:00:00.000000,0.31924505,1.00926651,2.26595170,63,202,453,30,89,272,0.15402873,0.44846219,1.36030299,0.34287817,0.57968238,0.88481217
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-12 00:00:00.000000,0.34503371,1.08674856,2.37032652,69,217,474,32,97,291,0.16186000,0.48468702,1.45508316,0.34497049,0.57376606,0.88560571
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-13 00:00:00.000000,0.37087619,1.14371565,2.49960535,74,228,500,33,105,318,0.16831602,0.52794866,1.59099507,0.35379642,0.56995118,0.88889937
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-14 00:00:00.000000,0.39817770,1.22445677,2.63707162,79,245,527,35,111,347,0.17578078,0.55951090,1.73517397,0.38364784,0.56453663,0.89898768
22041,0,USLouisianaFranklin,Louisiana,Franklin,2020-10-02 07:32:13.908595,2020-04-15 00:00:00.000000,0.42465241,1.31287499,2.83511042,84,262,567,36,118,368,0.18386998,0.59228260,1.84156055,0.39245285,0.56337845,0.85772884
